spannend,ˈʃpanənt,spannender,ˈʃpanəndɐ,spannendsten,ˈʃpanənt͡stn̩,Ableitung.Konversion
staatilich,ˈʃtaːtlɪç,-,-,-,-,Ableitung.-lich
lang,laŋ,länger,ˈlɛŋɐ,längsten,ˈlɛŋstn̩,de
gemeinsam,ɡəˈmaɪ̯nzaːm,-,-,-,-,Ableitung.-sam
abstrakt,apˈstʁakt,abstrakter,apˈstʁaktɐ,abhstrakteste,apˈstʁaktəstn̩,Lehnwort.la
langweilig,ˈlaŋvaɪ̯lɪç,langweiliger,ˈlaŋvaɪ̯lɪɡɐ,langweiligsten,ˈlaŋvaɪ̯lɪçstn̩,de
schwierig,ˈʃviːʁɪç,schwieriger,ˈʃviːʁɪɡɐ,schwierigsten,ˈʃviːʁɪçstn̩,de
theoretisch,teoˈʁeːtɪʃ,theoretischer,teoˈʁeːtɪʃɐ,theoretischsten,teoˈʁeːtɪʃstn̩,de
müde,ˈmyːdə,müder,ˈmyːdɐ,müdesten,ˈmyːdəstn̩,*
schlecht,ʃlɛçt,schlechter,ˈʃlɛçtɐ,schlechtesten,ˈʃlɛçtəstn̩,de
griechisch,ˈɡʁiːçɪʃ,griechischer,ˈɡʁiːçɪʃɐ,griechischsten,ˈɡʁiːçɪʃstn̩,Ableitung.-isch
schrecklich,ˈʃʁɛklɪç,schrecklicher,ˈʃʁɛklɪçɐ,schrecklichsten,ˈʃʁɛklɪçstn̩,de
kaputt,kaˈpʊt,kaputter,kaˈpʊtɐ,kaputtesten,kaˈpʊtəstn̩,Lehnwort.fr
