Genus,Substantiv,IPA,Plural,Herkunft,Tags
der,Kuchen,ˈkuːxn̩,Kuchen,*,Essen.Genussmittel
die,Schokolade,ʃokoˈlaːdə,Schokoladen,*,Essen:Getränk
der,Schokoladenkuchen,ʃokoˈlaːdn̩ˌkuːxn̩,Schokoladenkuchen,*,Essen.Genussmittel
die,Arbeit,ˈaʁbaɪ̯t,Arbeiten,*,
der,Liebling,ˈliːplɪŋ,Lieblinge,*,
das,Hotelzimmer,hoˈtɛlˌt͡sɪmɐ,Hotelzimmer,*,
das,Museum,muˈzeːʊm,Museen,*,
-,-,ˈlɔɪ̯tə,Leute,*,
der,Tee,teː,Tees,*,Getränk
der,Orangensaft,oˈʁɑ̃ːʒn̩ˌzaft,Orangensäfte,Komposita.-n-,Getränk.Saft.Fruchtsaft
die,Orange,oˈʁɑ̃ːʒə,Orangen,*,Nahrungsmittel.Obst
der,Saft,zaft,Säfte,*,Getränk
das,Mineralwasser,mineˈʁaːlˌvasɐ,Mineralwässer,Komposita.kein,Getränk
das,Wasser,ˈvasɐ,Wasser/Wässer,*,Getränk
das,Mineral,mɪneˈʁaːl,Minerale,*,
die,Milch,mɪlç,Milche/Milchen,*,Getränk
der,Zucker,ˈt͡sʊkɐ,Zucker,*,Essen.Gewürz
das,Stück,ʃtʏk,Stücke,*,
der,Dialog,diaˈloːk,Dialoge,*,
die,Rolle,ˈʁɔlə,Rollen,*,
der,Preis,pʁaɪ̯s,Preise,*,
das,Getränk,ɡəˈtʁɛŋk,Getränke,*,
das,Bier,biːɐ̯,Biere,*,Getränk.Alkoholgetränk
die,Suppe,ˈzʊpə,Suppen,*,Essen.Speise
die,Speise,ˈʃpaɪ̯zə,Speisen,de.la,
die/das,Cola,ˈkoːla,Colas,*,Getränk.Erfrischungsgetränk
die,Limonade,limoˈnaːdə,Limonaden,*,Getränk.Erfrischungsgetränk
das,Brötchen,ˈbʁøːtçən,Brötchen,Ableitung.Diminutivum:Ableitung.-chen,Essen.Gebäck
das,Brot,bʁoːt,Brote,*,Essen.Gebäck
der,Käse,ˈkɛːzə,Käse,*,Essen.Milchprodukt
der,Käsekuchen,ˈkɛːzəˌkuːxn̩,Käsekuchen,Komposita.kein,Essen.Kuchen:Essen.Käsegericht
die,Currywurst,ˈkœʁiˌvʊʁst,Currywürste,Komposita.kein,Essen
die,Wurst,vʊʁst,Würste,*,Essen.Fleischprodukt
der/das,Curry,ˈkœʁi,Currys,*,Essen.Gewürz
