Verb,IPA,regelmaßig,trennbar,ich.PS.I,du.PS.I,er/sie/es.PS.I,wir.PS.I,ihr.PS.I,sie/Sie.PS.I,ich.PS.K,du.PS.K,er/sie/es.PS.K,wir.PS.K,ihr.PS.K,sie/Sie.PS.K,ich.PT.I,du.PT.I,er/sie/es.PT.I,wir.PT.I,ihr.PT.I,sie/Sie.PT.I,ich.PT.K,du.PT.K,er/sie/es.PT.K,wir.PT.K,ihr.PT.K,sie/Sie.PT.K,Perfekt,Hilfsverb,Typs
trennen,ˈtʁɛnən,True,TRENNBAR,trenne,trennst,trennt,trennen,trennt,trennen,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,PERFEKT,HILFSVERB,*
zahlen,ˈt͡saːlən,True,TRENNBAR,zahle,zahlst,zahlt,zahlen,zahlt,zahlen,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,PERFEKT,HILFSVERB,*
bestellen,bəˈʃtɛlən,True,False,bestelle,bestellst,bestellt,bestellen,bestellt,bestellen,ICH,DU,ERSIEES,WIR,IHR,SIE,bestellte,bestelltest,bestellte,bestellten,bestelltet,bestellten,ICH,DU,ERSIEES,WIR,IHR,SIE,PERFEKT,HILFSVERB,Ableitung.be-
antworten,ˈantˌvɔʁtn̩,True,TRENNBAR,antworte,antwortest,antwortet,antworten,antwortet,antworten,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,PERFEKT,HILFSVERB,*
finden,ˈfɪndn̩,False,Not,findefindest,findet,finden,findet,finden,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,*,gef[u]nden,haben,de
hängen,ˈhɛŋən,True,TRENNBAR,hänge,hängst,hängt,hängen,hängt,hängen,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,PERFEKT,HILFSVERB,*
stimmen,ˈʃtɪmən,True,TRENNBAR,stimme,stimmst,stimmt,stimmen,stimmt,stimmen,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,PERFEKT,HILFSVERB,*
parken,ˈpaʁkn̩,True,TRENNBAR,parke,parkst,parkt,parken,parkt,parken,ICH,DU,ERSIEES,WIR,IHR,SIE,parkte,parktest,parkte,parkten,parktet,parkten,ICH,DU,ERSIEES,WIR,IHR,SIE,PERFEKT,HILFSVERB,Fremdwort.en
kaufen,ˈkaʊ̯fn̩,True,Not,kaufe,kaufst,kauft,kaufen,kauft,kaufen,ICH,DU,ERSIEES,WIR,IHR,SIE,kaufte,kauftest,kaufte,kauften,kauftet,kauften,ICH,DU,ERSIEES,WIR,IHR,SIE,PERFEKT,HILFSVERB,de
fahren,ˈfaːʁən,False,TRENNBAR,fahre,f[ä]hrst,f[ä]hrt,fahren,fahrt,fahren,ICH,DU,ERSIEES,WIR,IHR,SIE,f[u]hr,f[u]hrst,f[u]hr,f[u]hren,f[u]hrt,f[u]hren,ICH,DU,ERSIEES,WIR,IHR,SIE,gefahren,sein/haben,*
sehen,ˈzeːən,False,TRENNBAR,sehe,s[ie]hst,s[ie]ht,sehen,seht,sehen,ICH,DU,ERSIEES,WIR,IHR,SIE,s[a]h,s[a]hst,s[a]h,s[a]hen,s[a]ht,s[a]hen,ICH,DU,ERSIEES,WIR,IHR,SIE,PERFEKT,HILFSVERB,*
reservieren,ʁezɛʁˈviːʁən,True,TRENNBAR,reserviere,reservierst,reserviert,reservieren,reserviert,reservieren,ICH,DU,ERSIEES,WIR,IHR,SIE,reservierte,reserviertest,reservierte,reservierten,reserviertet,reservierten,ICH,DU,ERSIEES,WIR,IHR,SIE,PERFEKT,HILFSVERB,Fremdwort.fr
kosten,ˈkɔstn̩,True,TRENNBAR,koste,kostest,kostet,kosten,kostet,kosten,ICH,DU,ERSIEES,WIR,IHR,SIE,kostete,kostetest,kostete,kosteten,kostetet,kosteten,ICH,DU,ERSIEES,WIR,IHR,SIE,PERFEKT,HILFSVERB,*
angeben,ˈanˌɡeːbn̩,False,TRENNBAR,gebe an,g[i]bst an,g[i]bt an,geben an,gebt an,geben an,ICH,DU,ERSIEES,WIR,IHR,SIE,g[a]b an,g[a]bst an,g[a]b an,g[a]ben an,g[a]bt an,g[a]ben an,ICH,DU,ERSIEES,WIR,IHR,SIE,PERFEKT,HILFSVERB,*
bleiben,ˈblaɪ̯bn̩,False,TRENNBAR,bleibe,bleibst,bleibt,bleiben,bleibt,bleiben,ICH,DU,ERSIEES,WIR,IHR,SIE,bl[ie]b,bl[ie]bst,bl[ie]b,bl[ie]ben,bl[ie]bt,bl[ie]ben,ICH,DU,ERSIEES,WIR,IHR,SIE,PERFEKT,HILFSVERB,*
